SSN,ExplanationRank,PredictionProbability,PredictedCategory,ExplanationInfluencer,ExplanationInfluencerValue,ExplanationStrength,OutlierIndicator
1,5,,,occupation,Adm-clerical,-0.44317689538002014,
1,4,,,relationship,Not-in-family,-0.7040773034095764,
1,3,,,workclass,State-gov,-0.7252107858657837,
1,2,,,education-num,13,1.1392426490783691,
1,1,,,marital-status,Never-married,-2.6729846000671387,
82086,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82120,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82139,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82141,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82145,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82208,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82217,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82263,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82290,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82296,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82305,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82313,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82344,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82408,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82440,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82545,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82681,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82818,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82911,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82914,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82918,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82920,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82923,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
82925,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
83055,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
83083,1,,,marital-status,Married-civ-spouse,0.8785096406936646,
